測定局コード,住所,都道府県
20201510,長野市小島田町８０５－１１,長野県
20202050,松本市島立１０２０,長野県
20202060,松本市出川１丁目１３,長野県
20202510,松本市渚３丁目４５－４,長野県
20203010,上田市材木町１－２－６,長野県
20204510,岡谷市今井１６６０－３,長野県
20205010,飯田市追手町２－６７８,長野県
20206010,諏訪市上川１－１６４４－１０,長野県
20207010,須坂市須坂山崎８１２－２,長野県
20208020,小諸市与良町6-5-5,長野県
20209010,伊那市荒井３４９７,長野県
20211010,中野市中央１－４－１９,長野県
20212160,大町市大町１０５８－２,長野県
20216510,千曲市粟佐１０６４－４,長野県
20217020,佐久市跡部６５－１,長野県
20421030,木曽郡木曽町福島2757-1,長野県
20485950,北安曇郡白馬村北城4488-227,長野県
21201010,岐阜市八ツ寺町1-7,岐阜県
21201020,岐阜市茜部菱野２－１１５～１１８,岐阜県
21201030,岐阜市福光東３－１９,岐阜県
21201520,岐阜市明徳町１１,岐阜県
21202010,大垣市綾野１－２７１９－１,岐阜県
21202020,大垣市西外側町２－４９,岐阜県
21202050,大垣市築捨町１－１５９－２,岐阜県
21202510,大垣市禾森町４－４９,岐阜県
21203010,高山市花岡町２－１８,岐阜県
21204020,多治見市上野町５丁目６８番地１,岐阜県
21205360,関市西本郷通４丁目２番９号,岐阜県
21206010,中津川市かやの木町２－１,岐阜県
21208010,瑞浪市上平町１－２９,岐阜県
21209020,羽島市竹鼻町８６,岐阜県
21210501,恵那市長島町正家後田１０６７－７１,岐阜県
21211010,美濃加茂市新池町３－４－１,岐阜県
21212510,土岐市泉池ノ上町２－３,岐阜県
21213020,各務原市蘇原中央町２－１－２,岐阜県
21214510,可児市今渡１６８０,岐阜県
21215950,山県市長滝釜ヶ谷27-7-3,岐阜県
21218010,本巣市下真桑1000,岐阜県
21220010,下呂市萩原町羽根２６０５－１,岐阜県
21221010,海津市南濃町吉田487,岐阜県
21401010,揖斐郡揖斐川町上南方字森本,岐阜県
21541010,多治見市１１９４番地の１,岐阜県
22102010,静岡市駿河区宮竹2-11-1,静岡県
22103010,静岡市清水区草薙3-9-20,静岡県
22132540,浜松市東区安新町１８１－２,静岡県
22135010,浜松市北区三ヶ日町三ヶ日500番地の1,静岡県
22137010,浜松市天竜区二俣町二俣481番地,静岡県
22201030,静岡市葵区沓谷５丁目４７－１,静岡県
22201060,静岡市駿河区みずほ３丁目９－１,静岡県
22201090,静岡市葵区羽鳥6-9-1,静岡県
22201500,静岡市葵区常磐町３丁目１－１,静岡県
22201530,静岡市葵区丸子5491-2,静岡県
22202040,浜松市中区鴨江２－１７－１,静岡県
22202080,浜松市西区神ヶ谷町３４９０,静岡県
22202120,浜松市東区大瀬町2218,静岡県
22202150,浜松市南区芳川町８０,静岡県
22202160,浜松市中区高丘東３－５１－１,静岡県
22202520,浜松市中区伝馬町３１１－１４,静岡県
22202530,浜松市中区相生町２３－２,静岡県
22203010,沼津市高島本町１－３,静岡県
22204010,静岡市清水区旭町６－８,静岡県
22204020,静岡市清水区三保１０６９－１,静岡県
22204090,静岡市清水区庵原２４５,静岡県
22204100,静岡市清水区興津中町１２８８,静岡県
22204510,静岡市清水区庵原町９７－２,静岡県
22205010,熱海市水口町１３－１５,静岡県
22206010,三島市北田町４－４７,静岡県
22206510,三島市南田町２８８－１,静岡県
22207010,富士宮市弓沢町１５０,静岡県
22208020,伊東市大原２丁目１番１号,静岡県
22209010,島田市中央町１－１,静岡県
22210010,富士市津田 216-4,静岡県
22210020,富士市比奈２１２６,静岡県
22210030,富士市広見本町１－１,静岡県
22210040,富士市鈴川中町２８－１,静岡県
22210050,富士市久沢２－３－１,静岡県
22210060,富士市大渕２９２０,静岡県
22210070,富士市中島３２０－１,静岡県
22210160,富士市西船津２２０,静岡県
22210170,富士市南松野１４７６,静岡県
22210510,富士市蓼原２８－１１地先,静岡県
22210520,富士市宮島１４２５－３地先,静岡県
22211010,磐田市国府台６－１,静岡県
22212010,焼津市焼津２丁目１０－２８,静岡県
22213010,掛川市長谷1-1-１,静岡県
22213510,掛川市下西郷１１２番地地先,静岡県
22214010,藤枝市高柳２－３６１－３,静岡県
22214510,藤枝市郡９７０,静岡県
22215010,御殿場市萩原４８３,静岡県
22216010,袋井市新屋一丁目１番地の１,静岡県
22218010,浜松市浜北区横須賀８００,静岡県
22219010,下田市東本郷１丁目５－１８,静岡県
22220010,裾野市石脇字佐野堰５５７番１,静岡県
22221010,湖西市吉美３２６８,静岡県
22327010,伊豆の国市田京山崎７４０－５,静岡県
22381010,富士市岩渕８５５－３,静岡県
22382010,静岡市清水区清水区蒲原新田2-2319-1,静岡県
22402010,焼津市宗高428,静岡県
22423010,牧之原市静波４４７－１,静岡県
22447010,掛川市三俣６２０,静岡県
22522010,浜松市北区引佐町井伊谷616-5,静岡県
23101010,名古屋市千種区鹿子殿２１－１,愛知県
23103011,名古屋市北区田幡２－４－５,愛知県
23103020,名古屋市北区福徳町広瀬島３５０－４,愛知県
23104510,名古屋市西区新福寺町２－１－２,愛知県
23105050,名古屋市中村区名楽町４－７－１８,愛知県
23106018,名古屋市中区大須２丁目４０４番地先,愛知県
23107020,名古屋市昭和区滝川町１３１,愛知県
23109520,名古屋市熱田区旗屋一丁目10-45,愛知県
23110040,名古屋市中川区元中野町２－１１,愛知県
23110050,名古屋市中川区春田３－２１５,愛知県
23111010,名古屋市港区惟信町２－２６２,愛知県
23111021,名古屋市港区港陽１－１－６５,愛知県
23112020,名古屋市南区松下町２－１,愛知県
23112060,名古屋市南区汐田町１３０４,愛知県
23112510,名古屋市南区元塩町２,愛知県
23113010,名古屋市守山区小幡１－３－１,愛知県
23114010,名古屋市緑区大高町字町屋川１,愛知県
23116010,名古屋市天白区島田２－２０１,愛知県
23201030,豊橋市大崎町字柿ノ木１６,愛知県
23201040,豊橋市石巻町字西浦１６,愛知県
23201060,豊橋市野依町字諏訪149-1,愛知県
23201170,豊橋市大岩町字東郷内１１１－１,愛知県
23201540,豊橋市今橋町１,愛知県
23202030,岡崎市樫山町字山ノ神21-31,愛知県
23202040,岡崎市庄司田１丁目１７,愛知県
23202510,岡崎市大平町二の沢６７,愛知県
23202550,岡崎市矢作町字馬乗１１０－１,愛知県
23202560,岡崎市鴨田町字広元３０６,愛知県
23203010,一宮市松降通７－２７－５,愛知県
23203510,一宮市平島２－１－１２,愛知県
23204510,瀬戸市陶原町５－６０,愛知県
23205050,半田市東洋町１－３－６,愛知県
23206270,春日井市朝宮町４丁目１－２,愛知県
23206530,春日井市若草通2丁目１－１,愛知県
23207010,豊川市金屋西町３－１１,愛知県
23207510,豊川市桜町１丁目３－１０９,愛知県
23208530,津島市埋田町２－１２３－１,愛知県
23209080,碧南市川口町１－１６９,愛知県
23209510,碧南市源氏神明町１,愛知県
23210040,刈谷市寿町1-409,愛知県
23211020,豊田市竹元町南細畔３,愛知県
23211040,豊田市三軒町６－２３－５,愛知県
23211050,豊田市加納町西股７５,愛知県
23211060,豊田市宝来町４－７５８－１０,愛知県
23211530,豊田市花園町新田42-7,愛知県
23212030,安城市池浦町茶筅木１,愛知県
23213010,西尾市八ツ面町蔵屋敷９９,愛知県
23214010,蒲郡市御幸町３３５０－１,愛知県
23215010,犬山市大字五郎丸字下前田１,愛知県
23216110,常滑市新開町６－３－２,愛知県
23217010,江南市古知野町花霞７４,愛知県
23218010,一宮市小信中島字川南１２－３,愛知県
23219010,小牧市小牧１丁目３２１,愛知県
23220510,稲沢市稲府町1,愛知県
23221010,新城市平井字新栄８３,愛知県
23222010,東海市名和町南之山１０－１３,愛知県
23222020,東海市高横須賀町大塚３６,愛知県
23223010,大府市桃山町５－４４,愛知県
23224030,知多市大草字北ノ田８１,愛知県
23225040,知立市広見３－１,愛知県
23226010,尾張旭市東大道町山の内２４１９－５,愛知県
23227010,高浜市青木町６－１－１５,愛知県
23228010,岩倉市中本町字出口白山１－４,愛知県
23229010,豊明市西川町横井４－１５,愛知県
23230510,日進市浅田町西田面47-1,愛知県
23233510,清須市阿原九丁田１９２－１,愛知県
23302010,愛知郡東郷町春木字申下１３３５－１,愛知県
23303020,日進市五色園２－２７１６,愛知県
23304010,長久手市岩作権代30-3,愛知県
23342010,西春日井郡豊山町大字豊場字城屋敷１１７,愛知県
23342510,西春日井郡豊山町大字豊場字栄８０,愛知県
23381010,一宮市木曽川町黒田字北宿二ノ切２４７－１,愛知県
23421010,あま市七宝町伊福河原２８,愛知県
23422510,あま市篠田稲荷７６,愛知県
23425510,海部郡蟹江町八幡２丁目13,愛知県
23427510,海部郡飛島村飛島新田字竹之郷５,愛知県
23428010,弥富市前ヶ須町南本田３７９－１と３７９－３,愛知県
23441010,知多郡阿久比町大字卯坂字半田ヶ峰１,愛知県
23442010,知多郡東浦町大字緒川字政所２０,愛知県
23446020,知多郡美浜町大字奥田字儀路６７－１,愛知県
23447010,知多郡武豊町字長尾山１９,愛知県
23481010,西尾市一色町前野新田３４番地,愛知県
23501010,額田郡幸田町大字大草字三ツ石１８,愛知県
23604010,豊川市御津町御馬加美15,愛知県
23621071,田原市浦町西側85-1,愛知県
23623020,田原市古田町岡ノ越6-4,愛知県
24201020,津市白山町二本木3769-1,三重県
24201030,津市河辺町字長2210-5,三重県
24202010,四日市市磯津町旧海岸堤塘敷,三重県
24202030,四日市市海山道町１－１５３２－１,三重県
24202050,四日市市大字茂福字横座６６８－１,三重県
24202060,四日市市尾平町字永代寺,三重県
24202510,四日市市蔵町４－１７,三重県
24202530,四日市市富田二丁目４－１５,三重県
24202540,四日市市伊坂町字上ノ山,三重県
24203010,伊勢市一之木5-5-3,三重県
24204010,松阪市久保町２７６,三重県
24204510,松阪市中道町３４５,三重県
24205010,桑名市桑名市大字上野字笠松,三重県
24205510,桑名市繁松新田字宮之割42番地の1,三重県
24206020,伊賀市緑ヶ丘本町４１５３,三重県
24206030,伊賀市下柘植725,三重県
24207020,鈴鹿市算所５丁目１７－１,三重県
24207510,鈴鹿市白子駅前6-33,三重県
24208010,名張市丸の内５５,三重県
24209210,尾鷲市宮ノ上町７－３４,三重県
24210010,亀山市天神３－２－２３,三重県
24210510,亀山市太岡寺町1310,三重県
24211010,鳥羽市鳥羽市安楽島町1459,三重県
24212010,熊野市井戸町４８７７－１,三重県
24213010,津市久居野村町５６０,三重県
24215010,志摩市阿児町鵜方３１５３－１,三重県
24323010,いなべ市石槫東2977,三重県
24341810,三重郡菰野町大字菰野字御在所岳一の谷８５０３－１,三重県
24342010,四日市市北五味塚２０６０,三重県
24344020,三重郡川越町大字高松２５８,三重県
24442010,多気郡明和町明星1553,三重県
25201060,大津市下阪本４－１５－１２,滋賀県
25201070,大津市稲葉台２８番地先,滋賀県
25201080,大津市本堅田３－２５－２６,滋賀県
25201090,大津市由美浜１－１,滋賀県
25201510,大津市音羽台６ー１,滋賀県
25201540,大津市石山寺３－１１－２０,滋賀県
25201570,大津市上田上牧町字恋ノ山７６０－２,滋賀県
25202090,彦根市西今町800,滋賀県
25203030,長浜市分木町８－５,滋賀県
25204050,近江八幡市中村町２５,滋賀県
25205030,東近江市春日町１－１５,滋賀県
25206030,草津市草津町１８３９,滋賀県
25206510,草津市草津３丁目１４－７５,滋賀県
25207010,守山市守山五丁目１３０－５,滋賀県
25209010,甲賀市水口町水口６２００,滋賀県
25212010,高島市今津町南新保地先,滋賀県
26101010,京都市北区紫野花ノ坊町２３,京都府
26102510,京都市上京区烏丸通り上立売上ル相国寺門前町６４７の２,京都府
26103010,京都市左京区松ヶ崎堂ノ上町７番地の２,京都府
26104010,京都市中京区寺町通り御池上ル上本能寺前町４８８,京都府
26104060,京都市中京区壬生東高田町１－２１,京都府
26104510,京都市中京区錦大宮町１１７,京都府
26104520,京都市中京区西ノ京中保町１の４,京都府
26107510,京都市南区西九条南田町１の３,京都府
26109010,京都市伏見区村上町３９５,京都府
26109020,京都市伏見区久我東町６０の２,京都府
26109030,京都市伏見区醍醐鍵尾町１７,京都府
26110010,京都市山科区御陵四丁野町１,京都府
26110510,京都市山科区椥辻池尻町１４の２,京都府
26111010,京都市西京区樫原三宅町２４,京都府
26201040,福知山市岡ノ町１７５－３,京都府
26202030,舞鶴市溝尻１２００番地,京都府
26203010,綾部市宮代町土代３６,京都府
26204010,宇治市宇治若森７番地の６,京都府
26205020,宮津市吉原２５８６番地の２,京都府
26206010,亀岡市余部町五反田２７－１,京都府
26207030,城陽市寺田宮ノ平１番地,京都府
26208020,向日市森本町天神森４番地の８,京都府
26210510,八幡市戸津堂田地内,京都府
26212010,京丹後市峰山町丹波８５５,京都府
26213010,南丹市園部町黒田１－４,京都府
26303020,乙訓郡大山崎町円明寺松田１５番地,京都府
26303510,乙訓郡大山崎町小字茶屋地先,京都府
26322020,久世郡久御山町坊ノ池高河原５番地,京都府
26342020,京田辺市田辺明田１番地,京都府
26343010,綴喜郡井手町井手野神３８番地,京都府
26362020,木津川市木津上戸１８番地,京都府
26366030,相楽郡精華町光台1丁目7,京都府
26367010,相楽郡南山城村北大河原中谷１２－５２,京都府
27101510,大阪市北区西天満２－７－９,大阪府
27103510,大阪市福島区海老江８－１－１０,大阪府
27104010,大阪市此花区春日出北１－８－４,大阪府
27104030,大阪市此花区島屋2-9-36,大阪府
27106010,大阪市西区九条南２-１３-１７,大阪府
27108010,大阪市大正区平尾２－２１－２８,大阪府
27113510,大阪市西淀川区出来島２－２－２４,大阪府
27115010,大阪市中央区大手前４－１－６７,大阪府
27115510,大阪市東成区大今里西３－３－１１,大阪府
27116010,大阪市生野区勝山北３－１３－４４,大阪府
27117010,大阪市旭区中宮４－７－１１,大阪府
27117510,大阪市旭区新森６－３－１３,大阪府
27118020,大阪市城東区新喜多２－４－３５,大阪府
27120510,大阪市住吉区我孫子東１－４－３２,大阪府
27121510,大阪市東住吉区杭全２－１３－６先,大阪府
27122010,大阪市西成区花園北１－８－３２,大阪府
27123010,大阪市淀川区野中北１－１１－２６,大阪府
27124010,大阪市鶴見区浜３－８－６６,大阪府
27125010,大阪市住之江区御崎5-7-18,大阪府
27125030,大阪市住之江区南港東８－５,大阪府
27125510,大阪市住之江区粉浜1－5－40,大阪府
27125520,大阪市住之江区南加賀屋１－１－８０先,大阪府
27126010,大阪市平野区平野西３－４－７,大阪府
27143510,堺市東区石原町１－２０－１,大阪府
27146010,堺市北区金岡町１１８２－１,大阪府
27147010,堺市美原区小平尾３９０番地,大阪府
27201020,堺市堺区少林寺町東４－１－１,大阪府
27201030,堺市西区浜寺船尾町西５－６０,大阪府
27201050,堺市西区浜寺石津町中２－３－２８,大阪府
27201080,堺市堺区三宝町５－２８６,大阪府
27201090,堺市南区若松台３－３４－１,大阪府
27201100,堺市東区大美野１３５,大阪府
27201340,堺市中区深井水池町３２１４,大阪府
27201510,堺市堺区南瓦町３－１,大阪府
27201560,堺市西区石津西町２４－４,大阪府
27201570,堺市北区新金岡町４－１－９,大阪府
27201580,堺市中区深井東町２６６１－３,大阪府
27201600,堺市美原区丹上３２９－１,大阪府
27202060,岸和田市西之内町２７９－２,大阪府
27202530,岸和田市春木大国町８－２０,大阪府
27203030,豊中市三和町三丁目三番,大阪府
27203510,豊中市中桜塚３－１－１,大阪府
27203520,豊中市新千里西町1-1-3,大阪府
27204030,池田市畑１－７－４,大阪府
27205060,吹田市垂水町３－３２－５０,大阪府
27205080,吹田市藤白台１－１－５０,大阪府
27205090,吹田市高野台４－５－１,大阪府
27205530,吹田市寿町１－５－５,大阪府
27206030,泉大津市東雲町９－１２,大阪府
27207020,高槻市大蔵司2-51-2,大阪府
27207030,高槻市南庄所町3,大阪府
27207040,高槻市梶原１－５,大阪府
27207510,高槻市桃園町２－１,大阪府
27208010,貝塚市鳥羽１２２－１,大阪府
27209010,守口市文園町８－８,大阪府
27209510,守口市京阪本通２－６２,大阪府
27210010,枚方市大垣内町２－１－２０,大阪府
27210020,枚方市王仁公園１,大阪府
27210030,枚方市楠葉並木２－２９－３,大阪府
27210510,枚方市招提南町３－１０２２－１,大阪府
27210520,枚方市南中振３－２９４－８,大阪府
27211010,茨木市駅前３－８－１３,大阪府
27212010,八尾市清水町１－２－５,大阪府
27212030,八尾市水越３－７０,大阪府
27212510,八尾市南太子堂２－４－７,大阪府
27212520,八尾市西久宝寺６５１,大阪府
27213050,泉佐野市羽倉崎４－３－１２,大阪府
27213510,泉佐野市新安松１－１－２４,大阪府
27214020,富田林市常盤町１－１,大阪府
27215010,寝屋川市本町１－１,大阪府
27215020,寝屋川市成田町３－６,大阪府
27216010,河内長野市三日市町２８８－１,大阪府
27216520,河内長野市西之山町２－２１,大阪府
27217510,松原市阿保１－１６－３,大阪府
27218010,大東市谷川１－１－１,大阪府
27219040,和泉市緑ケ丘３－４－１,大阪府
27221010,柏原市大字高井田８０９－１,大阪府
27224510,摂津市三島１－２－１,大阪府
27225010,高石市東羽衣６－６－４５,大阪府
27225510,高石市西取石６－１１－１,大阪府
27226030,藤井寺市岡１－１－１,大阪府
27227020,東大阪市南四条町３－３３,大阪府
27227030,東大阪市西岩田３－３－２,大阪府
27227040,東大阪市高井田元町２－８－２７,大阪府
27228010,泉南市樽井１－１－１,大阪府
27229510,四條畷市江瀬美町１２－１１,大阪府
27301010,三島郡島本町桜井２－１－１,大阪府
27321010,豊能郡豊能町余野４１４番地の１,大阪府
27367010,阪南市舞４－６－１４,大阪府
28101010,神戸市東灘区住吉東町５丁目,兵庫県
28101030,神戸市東灘区向洋町中６丁目,兵庫県
28101040,神戸市東灘区住吉南町1丁目,兵庫県
28101520,神戸市東灘区魚崎南町６丁目１０,兵庫県
28102010,神戸市灘区神ノ木通３丁目,兵庫県
28102040,神戸市灘区新在家南町５丁目,兵庫県
28103010,神戸市中央区熊内町１丁目,兵庫県
28105010,神戸市兵庫区御崎町１丁目,兵庫県
28106010,神戸市長田区北町３丁目,兵庫県
28107010,神戸市須磨区行幸町３丁目,兵庫県
28107020,神戸市須磨区白川台５丁目,兵庫県
28107510,神戸市須磨区中島町１丁目,兵庫県
28108010,神戸市垂水区大町２丁目,兵庫県
28108020,神戸市西区平野町繁田,兵庫県
28108510,神戸市垂水区平磯１丁目,兵庫県
28109010,神戸市北区南五葉3-1-1,兵庫県
28109520,神戸市北区八多町中,兵庫県
28110010,神戸市中央区港島中町８丁目,兵庫県
28110510,神戸市中央区小野柄通２丁目１番１９号（中央消防署）,兵庫県
28111010,神戸市西区桜が丘東町５丁目,兵庫県
28111510,神戸市西区曙町１０７０,兵庫県
28201020,姫路市広畑区正門通１丁目７番地の３,兵庫県
28201030,姫路市飾磨区玉地１丁目２７番地,兵庫県
28201040,姫路市白浜町甲３９６－８,兵庫県
28201050,姫路市御国野町御着１１４２の２,兵庫県
28201060,姫路市網干区垣内中町１２０,兵庫県
28201070,姫路市飾西７２８の５,兵庫県
28201090,姫路市林田町林田１５,兵庫県
28201380,姫路市八代７７９番地の１７,兵庫県
28201390,姫路市香寺町中屋１４,兵庫県
28201520,姫路市小姓町３５の３,兵庫県
28201530,姫路市飾磨区細江４４４,兵庫県
28202010,尼崎市栗山町２丁目６番１号,兵庫県
28202020,尼崎市東難波町4丁目9-12,兵庫県
28202030,尼崎市北城内４７の１,兵庫県
28202520,尼崎市武庫川町1丁目25,兵庫県
28202530,尼崎市武庫荘８－３１－１,兵庫県
28202540,尼崎市南塚口町７の１７,兵庫県
28202550,尼崎市東塚口町２の２,兵庫県
28202560,尼崎市大庄北５丁目２の１地先,兵庫県
28202570,尼崎市東園田町４－７９,兵庫県
28202580,尼崎市東本町４丁目４７番地先,兵庫県
28203020,明石市二見町東二見４５７の１,兵庫県
28203030,明石市大久保町大窪６１２の１,兵庫県
28203060,明石市王子２丁目１２の６,兵庫県
28203510,明石市林崎町１丁目８の１０,兵庫県
28203530,明石市小久保１丁目５の５,兵庫県
28204010,西宮市六湛寺町１０番３号,兵庫県
28204020,西宮市鳴尾町３丁目５番１４号,兵庫県
28204030,西宮市瓦林町８番１号,兵庫県
28204130,西宮市上甲東園２丁目１１番２０号,兵庫県
28204140,西宮市山口町下山口４丁目２３番１号,兵庫県
28204150,西宮市浜甲子園２丁目１６番２３号,兵庫県
28204510,西宮市六湛寺町１０番３号,兵庫県
28204520,西宮市津門川町６番２０号,兵庫県
28204530,西宮市河原町１番３１号,兵庫県
28204560,西宮市甲子園７番町１５番７号,兵庫県
28204570,西宮市名塩新町１番地,兵庫県
28205010,洲本市本町３丁目４の１０,兵庫県
28206090,芦屋市朝日ヶ丘町１０番１０号,兵庫県
28206510,芦屋市打出町２番１３号,兵庫県
28207030,伊丹市千僧１丁目１番地,兵庫県
28208010,相生市旭１丁目１番３号,兵庫県
28208510,相生市池ノ内家の下５４６－７,兵庫県
28209010,豊岡市中央町２－４,兵庫県
28209510,豊岡市城南町３,兵庫県
28210010,加古川市野口町良野１５６８番地,兵庫県
28210020,加古川市尾上町長田５１９,兵庫県
28210030,加古川市別府町西町１,兵庫県
28210050,加古川市東神吉長神吉1590ー１,兵庫県
28210180,加古川市志方町志方町1758-3,兵庫県
28210190,加古川市平荘町山角266,兵庫県
28210520,加古川市平岡町新在家１８０１－１,兵庫県
28210530,加古川市加古川町備後３３２－１,兵庫県
28211010,たつの市龍野町富永１００５の１,兵庫県
28212010,赤穂市加里屋８１番地,兵庫県
28213010,西脇市西脇市郷瀬町６０５,兵庫県
28214010,宝塚市宝塚市高司2-3-1,兵庫県
28214510,宝塚市栄町１丁目１６番２号,兵庫県
28216010,高砂市荒井町千鳥１丁目１番１号,兵庫県
28216520,高砂市中島２丁目３５９－１,兵庫県
28217010,川西市中央町１２番１号,兵庫県
28217520,川西市加茂５丁目６３－１,兵庫県
28217530,川西市清流台16番2号,兵庫県
28218510,小野市上本町２５０番地,兵庫県
28219010,三田市三輪２丁目１－１,兵庫県
28381010,加古郡稲美町国岡１－１,兵庫県
28382010,加古郡播磨町東本荘１－５－３０,兵庫県
28464010,揖保郡太子町鵤280－１,兵庫県
28641010,丹波市柏原町柏原６８８,兵庫県
29201020,奈良市百楽園４－１－１,奈良県
29201030,奈良市朱雀６－１０－１,奈良県
29201060,奈良市紀寺町７８５,奈良県
29201530,奈良市柏木町519-17,奈良県
29202010,大和高田市大中９８－４,奈良県
29204010,天理市丹波市町１８０番地,奈良県
29206010,桜井市粟殿１０００,奈良県
29208010,御所市御所６０５－１０,奈良県
29209010,生駒市山崎町４－１０,奈良県
29363010,磯城郡田原本町宮古４０４－７,奈良県
29425010,北葛城郡王寺町王寺１丁目４２２７－３,奈良県
29451010,吉野郡上北山村小橡根返948－1,奈良県
30201020,和歌山市松江東３丁目２－６７,和歌山県
30201030,和歌山市島橋北ノ丁１－２２,和歌山県
30201040,和歌山市中之島１４９１,和歌山県
30201050,和歌山市砂山南３－３－４５,和歌山県
30201070,和歌山市松江北５丁目１２９５番地４６,和歌山県
30201080,和歌山市湊２丁目１７－４０,和歌山県
30201110,和歌山市紀三井寺８３２－１,和歌山県
30201130,和歌山市新庄３４８,和歌山県
30201250,和歌山市西庄１０９５,和歌山県
30201270,和歌山市六十谷４５,和歌山県
30201280,和歌山市小雑賀２－２－８,和歌山県
30201300,和歌山市北中島1丁目7-4,和歌山県
30201520,和歌山市木広町４丁目２３,和歌山県
30202020,海南市鳥居１９０,和歌山県
30202140,海南市日方１２６９,和歌山県
30202160,海南市船尾２３６－４,和歌山県
30202180,海南市野上中１６６－１,和歌山県
30203010,橋本市市脇４丁目５番８号,和歌山県
30204030,有田市初島町浜１３６８－３,和歌山県
30205010,御坊市薗字円津２５５－４,和歌山県
30206010,田辺市湊１６２９－６,和歌山県
30207010,新宮市神倉3-2-39,和歌山県
30301020,海南市下津町下津３０６６－１６,和歌山県
30301030,海南市下津町黒田１１２番地,和歌山県
30301050,海南市下津町小松原２９,和歌山県
30322010,紀の川市粉河１４７９,和歌山県
30361010,有田郡湯浅町湯浅１９８５,和歌山県
30384010,日高郡日高川町大字小熊,和歌山県
30390010,日高郡印南町印南原３１９９－１,和歌山県
30391010,日高郡みなべ町晩稲３６,和歌山県
31201020,鳥取市栄町５０２,鳥取県
31201040,鳥取市西町１丁目４０１,鳥取県
31202030,米子市博労町４－２２０,鳥取県
31202520,米子市加茂町１－１,鳥取県
31203020,倉吉市東巌城町２,鳥取県
31204010,境港市誠道町２２５－１,鳥取県
32201060,松江市西浜佐陀町５８２－１,島根県
32201520,松江市津田町３４３－４,島根県
32202040,浜田市片庭町２５４,島根県
32203040,出雲市塩冶町２２３－１,島根県
32204040,益田市昭和町１３－１,島根県
32204950,益田市高津町イ2340-3,島根県
32205010,大田市大田町大田若宮イ497-6,島根県
32206040,安来市安来町字八幡５８２－１,島根県
32207060,江津市江津町１５２５,島根県
32209010,雲南市木次町里方５３１－１,島根県
32528950,隠岐郡隠岐の島町北方福浦1700,島根県
33201040,岡山市中区江並４２８－７３,岡山県
33201060,岡山市南区南輝３－６－９,岡山県
33201120,岡山市東区西大寺上１－２０－６０,岡山県
33201130,岡山市北区南方１－３－６５,岡山県
33201160,岡山市中区長岡５８－２,岡山県
33201180,岡山市北区幸町１０－９,岡山県
33201190,岡山市南区中畦５８９－４,岡山県
33201210,岡山市北区東花尻２４１－１,岡山県
33201220,岡山市東区西大寺五明１８６,岡山県
33201250,岡山市北区御津宇垣１６２９,岡山県
33201540,岡山市東区西祖１の４及び１の５,岡山県
33202020,倉敷市水島北春日町１１－１１,岡山県
33202060,倉敷市松江３－１１－２６,岡山県
33202070,倉敷市呼松３－１－２４,岡山県
33202080,倉敷市児島宇野津１７５５－１,岡山県
33202090,倉敷市児島塩生１９５９－３,岡山県
33202100,倉敷市連島町鶴新田１７０５,岡山県
33202110,倉敷市美和１－１３－３３,岡山県
33202120,倉敷市西田２０１－１,岡山県
33202130,倉敷市藤戸町天城２２８５,岡山県
33202140,倉敷市茶屋町早沖１１０３－１,岡山県
33202170,倉敷市玉島阿賀崎３－３－１,岡山県
33202180,倉敷市児島小川１－１－１７,岡山県
33202400,倉敷市水島東千鳥町１－５０,岡山県
33202410,倉敷市福田町古新田５３３?１,岡山県
33202420,倉敷市上東１１１７－１,岡山県
33202520,倉敷市阿知１－６００－４,岡山県
33202530,倉敷市堀南６２１,岡山県
33202550,倉敷市西坂５３８,岡山県
33203020,津山市山北７４０,岡山県
33204010,玉野市明神町１－１,岡山県
33204020,玉野市向日比１－４－２５,岡山県
33204030,玉野市渋川１－４１０－１,岡山県
33204040,玉野市宇野１－３０５５－６,岡山県
33204050,玉野市日比２－６－５,岡山県
33204060,玉野市向日比２－２８２３－５番地の一部,岡山県
33204070,玉野市後閑１４９２－３,岡山県
33204090,玉野市用吉１６５５－６,岡山県
33205010,笠岡市神島１５５３,岡山県
33205020,笠岡市茂平２８０,岡山県
33205510,笠岡市大磯２７２－１１,岡山県
33207510,井原市井原町１１１３,岡山県
33208010,総社市中央２－４－１０３,岡山県
33209010,高梁市落合町近似２８６－１,岡山県
33210010,新見市金谷字出原６７１,岡山県
33211050,備前市東片上７０５－２,岡山県
33211060,備前市三石宿上３９３－３,岡山県
33211520,備前市伊部１４１５－２,岡山県
33213020,赤磐市釣井２０９－１,岡山県
33215010,美作市北山３８５－１,岡山県
33342010,備前市備前市日生町寒河3961-1,岡山県
33423010,都窪郡早島町前潟２４０,岡山県
33423510,都窪郡早島町大字早島３１０１－７,岡山県
33441010,倉敷市船穂町船穂2897,岡山県
33442010,浅口市金光町占見新田751,岡山県
33444010,浅口市寄島町7555-2,岡山県
33503010,倉敷市真備町箭田1769-1,岡山県
33584510,真庭市目木177-1,岡山県
33681010,加賀郡吉備中央町竹部２１６４－３,岡山県
34102020,広島市東区馬木９－１－２,広島県
34104510,広島市西区己斐本町３－１３,広島県
34105010,広島市安佐南区古市１－３３－１４,広島県
34105020,広島市安佐南区沼田町大字伴６１５３,広島県
34105510,広島市安佐南区古市２－２１－１,広島県
